               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05725,             0.02056,                   0,            0.002037,             0.78571,           0.0035509,          0.00086444,            0.058784,            0.018475,                   0,             0.07019,           0.0033122,           0.0033122
                   1,            0.045964,            0.013769,                   0,           0.0025926,                   1,           0.0069631,            0.002116,            0.044094,             0.01642,                   0,             0.04007,           0.0065259,           0.0065259
                   2,             0.03489,           0.0091517,                   0,           0.0025926,                   1,            0.080409,            0.021517,            0.040227,            0.015272,                   0,           0.0098306,           0.0096197,           0.0096197
                   3,            0.034777,           0.0081615,                   0,           0.0026636,                   1,             0.32204,            0.097444,            0.036216,            0.014781,                   0,             0.00946,             0.00946,             0.00946
                   4,            0.031022,           0.0074576,                   0,           0.0035751,                   1,              0.6269,             0.24495,            0.027457,            0.015928,                   0,             0.00946,             0.00946,             0.00946
                   5,            0.026802,           0.0078553,                   0,           0.0039548,                   1,             0.63179,             0.24802,            0.029567,            0.014399,                   0,             0.00928,             0.00928,             0.00928
                   6,            0.027534,             0.00826,                   0,              0.1387,                   1,             0.85938,             0.42314,            0.024633,            0.014535,                   0,              0.0091,              0.0091,              0.0091
                   7,            0.024807,           0.0075156,                   0,             0.70969,                   1,             0.94508,             0.66596,            0.027262,            0.013776,                   0,             0.00892,             0.00892,             0.00892
                   8,            0.023532,           0.0081223,                   0,             0.76211,                   1,             0.89672,             0.49934,            0.029901,            0.012449,                   0,             0.00874,             0.00874,             0.00874
                   9,            0.018676,           0.0071404,                   0,              0.7704,                   1,             0.91422,             0.71797,            0.018159,             0.01349,                   0,             0.00856,             0.00856,             0.00856
                  10,            0.020223,           0.0078845,                   0,             0.75235,                   1,             0.93031,             0.55824,            0.017524,            0.012843,                   0,             0.00838,             0.00838,             0.00838
                  11,            0.017935,           0.0070563,                   0,             0.76682,                   1,             0.92446,              0.5584,            0.018205,            0.011722,                   0,              0.0082,              0.0082,              0.0082
                  12,            0.019057,             0.00678,                   0,             0.76577,                   1,             0.90344,             0.47565,             0.02239,            0.010918,                   0,             0.00802,             0.00802,             0.00802
                  13,            0.018413,           0.0065361,                   0,             0.76161,                   1,             0.92132,             0.77561,            0.011505,              0.0115,                   0,             0.00784,             0.00784,             0.00784
                  14,            0.014483,           0.0060017,                   0,             0.76816,                   1,             0.92786,              0.7058,            0.016377,            0.010295,                   0,             0.00766,             0.00766,             0.00766
                  15,            0.016785,           0.0061105,                   0,             0.76412,                   1,             0.94235,             0.72197,            0.013657,            0.010404,                   0,             0.00748,             0.00748,             0.00748
                  16,            0.014296,            0.005581,                   0,             0.76165,                   1,             0.92061,             0.65348,            0.015541,            0.010107,                   0,              0.0073,              0.0073,              0.0073
                  17,             0.01485,           0.0061083,                   0,             0.76628,                   1,             0.93606,             0.70694,            0.016198,           0.0089599,                   0,             0.00712,             0.00712,             0.00712
                  18,            0.016018,           0.0061095,                   0,             0.76857,                   1,             0.93757,             0.71676,            0.011875,           0.0093812,                   0,             0.00694,             0.00694,             0.00694
                  19,            0.015894,           0.0053919,                   0,             0.76985,                   1,             0.94279,             0.69721,            0.016893,           0.0087422,                   0,             0.00676,             0.00676,             0.00676
                  20,            0.014719,           0.0056904,                   0,             0.76535,                   1,             0.92089,             0.69576,            0.012272,           0.0091002,                   0,             0.00658,             0.00658,             0.00658
                  21,            0.011677,           0.0045252,                   0,             0.76109,                   1,             0.93083,             0.76463,            0.010911,           0.0096478,                   0,              0.0064,              0.0064,              0.0064
                  22,            0.012773,           0.0050979,                   0,             0.78124,                   1,             0.93757,             0.81761,           0.0094975,           0.0082941,                   0,             0.00622,             0.00622,             0.00622
                  23,            0.012252,           0.0046704,                   0,              0.7938,                   1,             0.94044,             0.75341,             0.01184,           0.0083337,                   0,             0.00604,             0.00604,             0.00604
                  24,            0.013218,           0.0053762,                   0,             0.80694,                   1,             0.95178,              0.8157,            0.010934,           0.0079737,                   0,             0.00586,             0.00586,             0.00586
                  25,            0.012985,           0.0051266,                   0,             0.80453,                   1,             0.94279,             0.72345,            0.017774,           0.0082746,                   0,             0.00568,             0.00568,             0.00568
                  26,            0.013378,            0.005181,                   0,              0.8084,                   1,             0.94648,             0.82001,           0.0085548,           0.0077832,                   0,              0.0055,              0.0055,              0.0055
                  27,            0.011937,           0.0048779,                   0,             0.82324,             0.99812,             0.94648,             0.80228,            0.010316,           0.0081799,                   0,             0.00532,             0.00532,             0.00532
                  28,            0.012811,           0.0050855,                   0,             0.82082,                   1,             0.94193,              0.7819,            0.010035,           0.0090559,                   0,             0.00514,             0.00514,             0.00514
                  29,           0.0094385,           0.0044907,                   0,             0.81423,                   1,             0.93981,             0.73935,             0.01373,           0.0083229,                   0,             0.00496,             0.00496,             0.00496
                  30,             0.01307,           0.0051033,                   0,             0.81027,                   1,             0.94727,             0.69386,            0.013014,            0.007598,                   0,             0.00478,             0.00478,             0.00478
                  31,            0.011295,           0.0046026,                   0,             0.79932,                   1,             0.94727,              0.8257,             0.01018,           0.0082695,                   0,              0.0046,              0.0046,              0.0046
                  32,            0.010406,           0.0045004,                   0,             0.80734,                   1,             0.94192,             0.84504,           0.0082317,            0.008325,                   0,             0.00442,             0.00442,             0.00442
                  33,            0.010179,           0.0045663,                   0,             0.81702,                   1,             0.95231,             0.81392,           0.0095036,           0.0080832,                   0,             0.00424,             0.00424,             0.00424
                  34,            0.010318,           0.0046306,                   0,             0.84133,                   1,             0.96673,             0.82681,            0.010497,           0.0074413,                   0,             0.00406,             0.00406,             0.00406
                  35,            0.011162,           0.0048624,                   0,             0.85912,                   1,             0.96625,             0.86766,           0.0084825,           0.0076555,                   0,             0.00388,             0.00388,             0.00388
                  36,            0.010037,           0.0043624,                   0,             0.85536,                   1,             0.96125,             0.78916,             0.00893,           0.0077719,                   0,              0.0037,              0.0037,              0.0037
                  37,             0.01076,           0.0050895,                   0,             0.82251,             0.99338,             0.95765,             0.83444,           0.0069459,           0.0078375,                   0,             0.00352,             0.00352,             0.00352
                  38,             0.01048,           0.0048322,                   0,             0.82348,                   1,             0.95765,             0.84917,           0.0094115,           0.0070652,                   0,             0.00334,             0.00334,             0.00334
                  39,            0.010166,           0.0045453,                   0,             0.80448,                   1,             0.95716,             0.82428,           0.0084856,           0.0070734,                   0,             0.00316,             0.00316,             0.00316
                  40,           0.0086888,           0.0043664,                   0,             0.81484,                   1,             0.96625,             0.86583,           0.0082672,           0.0073572,                   0,             0.00298,             0.00298,             0.00298
                  41,             0.01009,           0.0046804,                   0,             0.79169,                   1,             0.96135,             0.87866,           0.0065556,           0.0075717,                   0,              0.0028,              0.0028,              0.0028
                  42,           0.0099494,           0.0044605,                   0,             0.80758,                   1,             0.94876,             0.83425,           0.0079443,           0.0072573,                   0,             0.00262,             0.00262,             0.00262
                  43,           0.0091168,           0.0044568,                   0,              0.8162,             0.92857,             0.96265,             0.83283,           0.0081891,           0.0069598,                   0,             0.00244,             0.00244,             0.00244
                  44,           0.0098475,           0.0047309,                   0,              0.8198,                   1,             0.95178,             0.83476,           0.0092573,            0.007067,                   0,             0.00226,             0.00226,             0.00226
                  45,           0.0094663,           0.0043164,                   0,             0.83161,                   1,             0.95596,             0.84128,           0.0081011,           0.0078047,                   0,             0.00208,             0.00208,             0.00208
                  46,           0.0092502,           0.0044336,                   0,             0.85734,                   1,             0.96125,              0.8735,           0.0071039,           0.0071412,                   0,              0.0019,              0.0019,              0.0019
                  47,           0.0098232,           0.0045632,                   0,             0.86708,                   1,             0.96125,             0.86252,           0.0076563,           0.0067525,                   0,             0.00172,             0.00172,             0.00172
                  48,           0.0091661,           0.0047571,                   0,             0.86097,                   1,             0.96125,             0.85991,           0.0075596,           0.0068932,                   0,             0.00154,             0.00154,             0.00154
                  49,           0.0089137,           0.0046819,                   0,             0.81402,                   1,             0.96125,             0.87816,           0.0066833,           0.0068018,                   0,             0.00136,             0.00136,             0.00136
                  50,           0.0084079,            0.004299,                   0,             0.82022,                   1,             0.95765,             0.87621,           0.0057177,             0.00687,                   0,             0.00118,             0.00118,             0.00118
                  51,            0.008644,           0.0046454,                   0,             0.80784,                   1,             0.94648,             0.85945,           0.0070624,           0.0067863,                   0,               0.001,               0.001,               0.001
                  52,           0.0086254,           0.0045298,                   0,              0.8162,                   1,             0.94648,             0.87424,           0.0065658,            0.006648,                   0,             0.00082,             0.00082,             0.00082
                  53,           0.0093883,           0.0045483,                   0,             0.80584,                   1,             0.94648,             0.84086,           0.0067326,           0.0066031,                   0,             0.00064,             0.00064,             0.00064
                  54,           0.0075718,            0.004455,                   0,             0.80529,                   1,             0.94648,             0.88748,           0.0061092,            0.006855,                   0,             0.00046,             0.00046,             0.00046
