               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097962,            0.030027,                   0,           0.0024074,             0.92857,            0.007746,           0.0014938,            0.070183,            0.021471,                   0,            0.070612,           0.0032653,           0.0032653
                   1,            0.086367,            0.031814,                   0,           0.0025926,                   1,            0.043698,           0.0069014,            0.049352,            0.020559,                   0,            0.040426,            0.006412,            0.006412
                   2,            0.071097,            0.029065,                   0,           0.0026493,             0.92857,            0.033497,             0.01037,            0.050289,            0.018679,                   0,             0.01005,           0.0093701,           0.0093701
                   3,            0.079261,            0.026699,                   0,           0.0024074,             0.92857,            0.018196,            0.004408,            0.053368,            0.014772,                   0,           0.0091514,           0.0091514,           0.0091514
                   4,            0.073628,            0.025126,                   0,           0.0025926,                   1,            0.057066,            0.013904,            0.048447,            0.014168,                   0,           0.0091514,           0.0091514,           0.0091514
                   5,            0.067049,            0.026304,                   0,           0.0035037,                   1,              0.0688,             0.01215,            0.042142,            0.014396,                   0,           0.0088686,           0.0088686,           0.0088686
                   6,            0.057647,            0.027118,                   0,             0.12717,             0.71429,              0.3214,            0.079737,             0.04884,             0.01142,                   0,           0.0085857,           0.0085857,           0.0085857
                   7,            0.058828,            0.023559,                   0,             0.33301,             0.71429,             0.50866,             0.16754,            0.047672,            0.011363,                   0,           0.0083029,           0.0083029,           0.0083029
                   8,            0.052703,             0.02618,                   0,             0.22424,             0.57143,             0.36295,            0.054427,            0.051049,            0.010906,                   0,             0.00802,             0.00802,             0.00802
                   9,            0.053884,             0.02308,                   0,               0.235,             0.71429,             0.50464,             0.10805,            0.040423,            0.012309,                   0,           0.0077371,           0.0077371,           0.0077371
                  10,            0.049129,            0.025084,                   0,             0.34088,             0.64286,             0.47016,              0.1257,            0.050162,            0.010097,                   0,           0.0074543,           0.0074543,           0.0074543
                  11,             0.05402,            0.024314,                   0,             0.60005,              0.9653,             0.89195,             0.39876,            0.031661,             0.01235,                   0,           0.0071714,           0.0071714,           0.0071714
                  12,            0.044535,            0.023711,                   0,             0.40572,             0.64286,             0.68328,             0.27939,            0.029234,            0.012354,                   0,           0.0068886,           0.0068886,           0.0068886
                  13,            0.042814,            0.022572,                   0,             0.65139,             0.71429,             0.78865,             0.51035,            0.027911,            0.012129,                   0,           0.0066057,           0.0066057,           0.0066057
                  14,            0.039625,            0.018931,                   0,             0.38586,                 0.5,             0.58898,             0.11067,            0.038877,            0.010213,                   0,           0.0063229,           0.0063229,           0.0063229
                  15,            0.042041,            0.020361,                   0,             0.72751,             0.85714,             0.87038,             0.38335,            0.028749,            0.011092,                   0,             0.00604,             0.00604,             0.00604
                  16,            0.043634,             0.02109,                   0,             0.80559,              0.8891,             0.92187,             0.55129,            0.035821,            0.010006,                   0,           0.0057571,           0.0057571,           0.0057571
                  17,            0.041654,            0.020085,                   0,              0.7492,             0.85372,              0.9265,             0.59476,            0.026807,            0.010571,                   0,           0.0054743,           0.0054743,           0.0054743
